nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id,team_name,distancia_total_m_por_partida,hsr_count_por_partida,sprint_count_por_partida,alta_aceleracao_count_por_partida,aceleracao_explosiva_count_por_partida,cluster,player_key,Days Missed,total_days_3y,n_events_3y,severity_idx,injury_events,top_injury,_merge
Gabriel Neves,25,171.0,20,5170.8,23.56,2.53,0.0,0.0,1.65,1.3,17885,São_Paulo_FC,258.54,0.0,0.0,0.0824999999999999,0.065,1,gabrielnevessaopaulofc,,,,,,,left_only
Rodrigo Nestor,22,175.0,25,5935.57,23.58,2.71,0.0,0.0,1.8,1.72,17886,São_Paulo_FC,237.4228,0.0,0.0,0.072,0.0688,1,rodrigonestorsaopaulofc,175.0,620.0,4.0,310.0,2.0,Knee injury,both
Talles Costa,21,176.0,7,2441.35,19.22,2.55,0.0,0.0,2.0,1.86,17887,São_Paulo_FC,348.7642857142857,0.0,0.0,0.2857142857142857,0.2657142857142857,1,tallescostasaopaulofc,,,,,,,left_only
Wellington Rato,31,172.0,32,5744.35,25.4,2.62,0.0,0.0,2.19,2.47,17890,São_Paulo_FC,179.5109375,0.0,0.0,0.0684375,0.0771875,1,wellingtonratosaopaulofc,,,,,,,left_only
David,27,180.0,22,3579.65,22.14,2.74,0.0,0.0,1.36,1.45,17891,São_Paulo_FC,162.71136363636364,0.0,0.0,0.0618181818181818,0.0659090909090909,1,davidsaopaulofc,,,,,,,left_only
Caio Paulista,25,184.0,28,7710.42,22.2,2.64,0.0,0.0,2.0,2.04,17893,São_Paulo_FC,275.3721428571429,0.0,0.0,0.0714285714285714,0.0728571428571428,1,caiopaulistasaopaulofc,,,,,,,left_only
Jonathan Calleri,29,181.0,19,7191.59,22.98,2.49,0.0,0.0,2.11,1.95,17894,São_Paulo_FC,378.5047368421053,0.0,0.0,0.1110526315789473,0.1026315789473684,1,jonathancallerisaopaulofc,411.0,1573.0,33.0,524.3333333333333,11.0,Injury to the ankle,both
Luciano,30,180.0,34,6451.78,23.73,2.65,0.0,0.0,1.91,2.44,17895,São_Paulo_FC,189.75823529411764,0.0,0.0,0.0561764705882352,0.0717647058823529,1,lucianosaopaulofc,689.0,60.0,10.0,60.0,10.0,Hamstring injury,both
Juan,21,177.0,27,4967.8,22.45,2.58,0.0,0.0,1.93,1.96,17896,São_Paulo_FC,183.9925925925926,0.0,0.0,0.0714814814814814,0.0725925925925926,1,juansaopaulofc,,,,,,,left_only
Diego Costa,24,184.0,23,7805.89,22.64,2.61,0.0,0.0,1.96,1.17,18071,São_Paulo_FC,339.38652173913044,0.0,0.0,0.0852173913043478,0.0508695652173913,1,diegocostasaopaulofc,158.0,0.0,0.0,0.0,1.0,,both
Rodriguinho,19,185.0,11,2702.2,20.49,2.62,0.0,0.0,2.36,2.18,18072,São_Paulo_FC,245.65454545454543,0.0,0.0,0.2145454545454545,0.1981818181818182,1,rodriguinhosaopaulofc,98.0,0.0,0.0,0.0,4.0,,both
Alisson,30,174.0,35,6594.8,23.53,2.7,0.0,0.0,2.8,2.91,18073,São_Paulo_FC,188.42285714285717,0.0,0.0,0.08,0.0831428571428571,1,alissonsaopaulofc,447.0,0.0,0.0,0.0,6.0,,both
Rafael,34,192.0,33,4899.03,21.45,1.49,0.0,0.0,1.58,1.36,18102,São_Paulo_FC,148.45545454545453,0.0,0.0,0.0478787878787878,0.0412121212121212,0,rafaelsaopaulofc,,,,,,,left_only
Rafinha,37,172.0,25,8408.16,21.95,2.57,0.0,0.0,2.6,2.2,18103,São_Paulo_FC,336.3264,0.0,0.0,0.104,0.088,1,rafinhasaopaulofc,,,,,,,left_only
Luan,24,175.0,11,5645.46,23.58,2.45,0.0,0.0,0.91,1.73,18104,São_Paulo_FC,513.2236363636364,0.0,0.0,0.0827272727272727,0.1572727272727272,1,luansaopaulofc,,,,,,,left_only
Nathan Mendes,21,182.0,21,5903.75,20.61,2.63,0.0,0.0,0.86,0.52,18112,São_Paulo_FC,281.1309523809524,0.0,0.0,0.0409523809523809,0.0247619047619047,1,nathanmendessaopaulofc,,,,,,,left_only
Raí Ramos,29,179.0,6,4685.17,23.39,2.45,0.0,0.0,1.17,2.33,18395,São_Paulo_FC,780.8616666666667,0.0,0.0,0.1949999999999999,0.3883333333333333,1,rairamossaopaulofc,,,,,,,left_only
Pedro Vilhena,21,180.4719562243502,1,2763.98,18.45,2.38,0.0,0.0,1.0,0.0,18679,São_Paulo_FC,2763.98,0.0,0.0,1.0,0.0,1,pedrovilhenasaopaulofc,,,,,,,left_only
Felipe Negrucci,19,180.4719562243502,1,2030.76,19.62,2.13,0.0,0.0,0.0,0.0,18862,São_Paulo_FC,2030.76,0.0,0.0,0.0,0.0,1,felipenegruccisaopaulofc,61.0,0.0,0.0,0.0,1.0,,both
William Gomes,17,180.4719562243502,3,2727.68,17.91,2.44,0.0,0.0,0.0,0.0,24543,São_Paulo_FC,909.2266666666666,0.0,0.0,0.0,0.0,1,williamgomessaopaulofc,,,,,,,left_only
Talles Wander,20,180.0,2,1436.13,17.91,2.53,0.0,0.0,0.0,0.0,24556,São_Paulo_FC,718.065,0.0,0.0,0.0,0.0,1,talleswandersaopaulofc,,,,,,,left_only
Yeferson Soteldo,26,160.0,22,7560.38,24.41,2.37,0.0,0.0,11.05,11.45,3084,Santos_FC,343.6536363636364,0.0,0.0,0.5022727272727273,0.5204545454545454,1,yefersonsoteldosantosfc,281.0,506.0,22.0,253.0,11.0,Muscle injury,both
Julio Furch,34,188.0,22,3317.33,22.19,2.31,0.0,0.0,4.55,5.27,3562,Santos_FC,150.78772727272727,0.0,0.0,0.2068181818181818,0.2395454545454545,1,juliofurchsantosfc,142.0,0.0,0.0,0.0,3.0,,both
Jean Lucas,25,179.0,22,9114.7,25.76,2.28,0.0,0.0,14.09,13.18,3893,Santos_FC,414.3045454545455,0.0,0.0,0.6404545454545455,0.5990909090909091,1,jeanlucassantosfc,,,,,,,left_only
Maximiliano Silvera,26,176.0,12,4466.48,22.83,2.34,0.0,0.0,4.67,10.0,7385,Santos_FC,372.20666666666665,0.0,0.0,0.3891666666666666,0.8333333333333334,1,maximilianosilverasantosfc,,,,,,,left_only
Joao Basso,26,187.0,14,8591.28,24.78,2.28,0.0,0.0,8.79,10.86,11717,Santos_FC,613.6628571428572,0.0,0.0,0.6278571428571428,0.7757142857142857,1,joaobassosantosfc,,,,,,,left_only
Junior Caicara,34,173.0,5,3696.52,21.52,2.7,0.0,0.0,3.8,3.2,12107,Santos_FC,739.304,0.0,0.0,0.76,0.64,1,juniorcaicarasantosfc,,,,,,,left_only
Tomas Rincon,35,177.0,16,8260.05,23.69,2.41,0.0,0.0,9.12,9.06,12769,Santos_FC,516.253125,0.0,0.0,0.57,0.56625,1,tomasrinconsantosfc,253.0,0.0,0.0,0.0,8.0,,both
Daniel Ruiz Rivera,21,171.0,9,3553.56,23.39,2.48,0.0,0.0,5.22,7.22,16378,Santos_FC,394.84,0.0,0.0,0.58,0.8022222222222222,1,danielruizriverasantosfc,,,,,,,left_only
Dodô,31,177.0,18,8154.2,23.84,2.47,0.0,0.0,7.67,8.17,16726,Santos_FC,453.0111111111111,0.0,0.0,0.4261111111111111,0.4538888888888889,1,dodosantosfc,,,,,,,left_only
Vladimir,34,192.0,3,3592.72,21.03,1.56,0.0,0.0,1.33,0.33,17948,Santos_FC,1197.5733333333333,0.0,0.0,0.4433333333333333,0.11,0,vladimirsantosfc,,,,,,,left_only
Eduardo Bauermann,27,187.0,3,9281.93,23.27,2.18,0.0,0.0,11.67,20.0,17951,Santos_FC,3093.976666666667,0.0,0.0,3.89,6.666666666666667,2,eduardobauermannsantosfc,,,,,,,left_only
Maicon,34,191.0,1,4400.32,23.01,1.96,0.0,0.0,6.0,13.0,17952,Santos_FC,4400.32,0.0,0.0,6.0,13.0,2,maiconsantosfc,,,,,,,left_only
Messias,28,191.0,28,8438.11,22.82,2.21,0.0,0.0,5.75,8.14,17953,Santos_FC,301.36107142857145,0.0,0.0,0.2053571428571428,0.2907142857142857,1,messiassantosfc,,,,,,,left_only
Alex,24,189.0,6,7795.09,26.08,2.5,0.0,0.0,7.0,7.33,17954,Santos_FC,1299.1816666666666,0.0,0.0,1.1666666666666667,1.221666666666667,1,alexsantosfc,,,,,,,left_only
Joaquim,24,190.0,31,8821.54,24.74,2.31,0.0,0.0,7.03,9.13,17955,Santos_FC,284.56580645161296,0.0,0.0,0.2267741935483871,0.2945161290322581,1,joaquimsantosfc,,,,,,,left_only
Felipe Jonatan,25,172.0,1,9534.75,23.01,2.65,0.0,0.0,8.0,17.0,17957,Santos_FC,9534.75,0.0,0.0,8.0,17.0,2,felipejonatansantosfc,,,,,,,left_only
Lucas Pires,22,182.0,9,7162.47,22.87,2.48,0.0,0.0,6.67,12.33,17958,Santos_FC,795.83,0.0,0.0,0.741111111111111,1.37,1,lucaspiressantosfc,,,,,,,left_only
Kevyson,19,178.0,17,5924.01,24.19,2.58,0.0,0.0,4.12,4.94,17959,Santos_FC,348.47117647058826,0.0,0.0,0.2423529411764706,0.2905882352941176,1,kevysonsantosfc,546.0,0.0,0.0,0.0,2.0,,both
João Lucas,25,181.0,15,5491.06,22.17,2.48,0.0,0.0,5.2,6.07,17960,Santos_FC,366.0706666666667,0.0,0.0,0.3466666666666667,0.4046666666666667,1,joaolucassantosfc,,,,,,,left_only
Cadu,21,170.0,1,1847.3,23.12,2.62,0.0,0.0,1.0,1.0,17961,Santos_FC,1847.3,0.0,0.0,1.0,1.0,1,cadusantosfc,,,,,,,left_only
Vinicius Balieiro,24,178.0,3,1502.0,21.06,2.38,0.0,0.0,3.33,2.0,17962,Santos_FC,500.6666666666667,0.0,0.0,1.11,0.6666666666666666,1,viniciusbalieirosantosfc,,,,,,,left_only
Rodrigo Fernández,27,174.0,30,7654.82,22.99,2.22,0.0,0.0,7.63,11.47,17963,Santos_FC,255.16066666666663,0.0,0.0,0.2543333333333333,0.3823333333333333,1,rodrigofernandezsantosfc,,,,,,,left_only
Alison,30,182.0,5,3268.21,22.87,2.45,0.0,0.0,3.6,3.6,17964,Santos_FC,653.642,0.0,0.0,0.72,0.72,1,alisonsantosfc,,,,,,,left_only
Guilherme Camacho,33,181.0,11,4677.82,22.4,2.25,0.0,0.0,5.09,7.82,17965,Santos_FC,425.2563636363636,0.0,0.0,0.4627272727272727,0.7109090909090909,1,guilhermecamachosantosfc,,,,,,,left_only
Sandry,20,174.0,5,4071.79,23.22,2.18,0.0,0.0,4.2,7.0,17966,Santos_FC,814.358,0.0,0.0,0.8400000000000001,1.4,1,sandrysantosfc,,,,,,,left_only
Ivonei,21,175.0,1,859.53,22.22,2.15,0.0,0.0,0.0,3.0,17968,Santos_FC,859.53,0.0,0.0,0.0,3.0,1,ivoneisantosfc,,,,,,,left_only
Dodi,27,170.0,28,6836.34,22.74,2.28,0.0,0.0,8.96,9.57,17969,Santos_FC,244.155,0.0,0.0,0.32,0.3417857142857143,1,dodisantosfc,,,,,,,left_only
Ed Carlos,22,186.0,4,1616.98,20.88,2.49,0.0,0.0,0.0,1.0,17971,Santos_FC,404.245,0.0,0.0,0.0,0.25,1,edcarlossantosfc,,,,,,,left_only
Lucas Braga,26,184.0,27,7858.37,25.91,2.53,0.0,0.0,8.33,9.07,17972,Santos_FC,291.0507407407408,0.0,0.0,0.3085185185185185,0.3359259259259259,1,lucasbragasantosfc,,,,,,,left_only
Stiven Mendoza,31,172.0,26,6828.11,23.49,2.33,0.0,0.0,11.5,12.81,17973,Santos_FC,262.6196153846154,0.0,0.0,0.4423076923076923,0.4926923076923077,1,stivenmendozasantosfc,,,,,,,left_only
Ângelo Gabriel,18,182.0,12,4977.29,23.07,2.45,0.0,0.0,10.42,11.58,17974,Santos_FC,414.7741666666666,0.0,0.0,0.8683333333333333,0.965,1,angelogabrielsantosfc,,,,,,,left_only
Lucas Barbosa,22,193.0,4,3152.49,23.4,2.56,0.0,0.0,5.0,5.0,17975,Santos_FC,788.1225,0.0,0.0,1.25,1.25,1,lucasbarbosasantosfc,56.0,0.0,0.0,0.0,2.0,,both
Marcos Leonardo,20,176.0,31,8371.96,23.27,2.34,0.0,0.0,10.0,10.55,17976,Santos_FC,270.0632258064516,0.0,0.0,0.3225806451612903,0.3403225806451613,1,marcosleonardosantosfc,,,,,,,left_only
Lucas Lima,33,176.0,35,7063.43,23.83,2.36,0.0,0.0,5.89,11.09,18081,Santos_FC,201.8122857142857,0.0,0.0,0.1682857142857143,0.3168571428571428,1,lucaslimasantosfc,,,,,,,left_only
João Paulo,28,189.0,36,4525.23,21.69,1.36,0.0,0.0,2.61,3.11,18107,Santos_FC,125.70083333333332,0.0,0.0,0.0725,0.0863888888888888,0,joaopaulosantosfc,176.0,0.0,0.0,0.0,1.0,,both
Luiz Felipe,29,189.0,1,313.3,15.06,1.92,0.0,0.0,0.0,0.0,18108,Santos_FC,313.3,0.0,0.0,0.0,0.0,0,luizfelipesantosfc,,,,,,,left_only
Nathan,21,183.0,7,7358.54,25.87,2.62,0.0,0.0,8.29,7.86,18114,Santos_FC,1051.22,0.0,0.0,1.1842857142857142,1.122857142857143,1,nathansantosfc,,,,,,,left_only
Miguel Terceros,18,177.0,2,2380.82,22.75,2.58,0.0,0.0,3.0,5.0,18304,Santos_FC,1190.41,0.0,0.0,1.5,2.5,1,migueltercerossantosfc,,,,,,,left_only
Deivid Washington,17,187.0,9,5073.14,21.77,2.47,0.0,0.0,5.44,5.0,18305,Santos_FC,563.6822222222222,0.0,0.0,0.6044444444444445,0.5555555555555556,1,deividwashingtonsantosfc,,,,,,,left_only
Gabriel Inocêncio,28,175.0,22,6325.27,24.29,2.52,0.0,0.0,9.32,9.73,18614,Santos_FC,287.5122727272728,0.0,0.0,0.4236363636363636,0.4422727272727273,1,gabrielinocenciosantosfc,,,,,,,left_only
Bruno Mezenga,34,185.0,9,2327.08,21.51,2.36,0.0,0.0,0.33,1.67,18615,Santos_FC,258.56444444444446,0.0,0.0,0.0366666666666666,0.1855555555555555,1,brunomezengasantosfc,,,,,,,left_only
Luan Dias,25,181.0,8,2814.63,24.51,2.54,0.0,0.0,2.88,4.38,18697,Santos_FC,351.82875,0.0,0.0,0.36,0.5475,1,luandiassantosfc,,,,,,,left_only
Weslley Patati,19,164.0,9,2039.75,22.42,2.62,0.0,0.0,3.44,2.78,18902,Santos_FC,226.63888888888889,0.0,0.0,0.3822222222222222,0.3088888888888889,1,weslleypatatisantosfc,,,,,,,left_only
Nonato,25,175.0,14,5531.65,25.0,2.3,0.0,0.0,6.36,8.71,22100,Santos_FC,395.11785714285713,0.0,0.0,0.4542857142857143,0.6221428571428572,1,nonatosantosfc,,,,,,,left_only
Alfredo Morelos,27,177.0,3,3305.83,22.84,2.04,0.0,0.0,2.67,5.33,23510,Santos_FC,1101.9433333333334,0.0,0.0,0.89,1.7766666666666666,1,alfredomorelossantosfc,159.0,276.0,6.0,276.0,6.0,Muscle injury,both
Jair Paula,18,195.0,2,1988.22,21.05,2.61,0.0,0.0,0.5,1.0,24122,Santos_FC,994.11,0.0,0.0,0.25,0.5,1,jairpaulasantosfc,,,,,,,left_only
Cristian Pavon,27,174.0,32,5951.32,23.3,2.53,0.0,0.0,2.78,2.44,854,Atlético_Mineiro,185.97875,0.0,0.0,0.086875,0.07625,1,cristianpavonatleticomineiro,,,,,,,left_only
Otavio,29,173.0,26,9409.31,23.85,2.54,0.0,0.0,4.96,4.54,4270,Atlético_Mineiro,361.89653846153846,0.0,0.0,0.1907692307692307,0.1746153846153846,1,otavioatleticomineiro,354.0,0.0,0.0,0.0,4.0,,both
Paulinho,23,177.0,35,8609.65,26.29,2.62,0.0,0.0,7.57,6.8,4596,Atlético_Mineiro,245.99,0.0,0.0,0.2162857142857143,0.1942857142857142,1,paulinhoatleticomineiro,600.0,0.0,0.0,0.0,6.0,,both
Jemerson,30,184.0,31,7718.42,23.88,2.42,0.0,0.0,2.9,2.32,6644,Atlético_Mineiro,248.98129032258063,0.0,0.0,0.0935483870967742,0.0748387096774193,1,jemersonatleticomineiro,,,,,,,left_only
Alan Franco,25,175.0,17,5191.93,22.92,2.62,0.0,0.0,2.94,2.06,7571,Atlético_Mineiro,305.4076470588236,0.0,0.0,0.1729411764705882,0.1211764705882353,1,alanfrancoatleticomineiro,74.0,120.0,5.0,120.0,5.0,Inflammation of ligaments in the knee,both
Pedrinho,25,172.0,15,4334.36,21.99,2.49,0.0,0.0,2.6,2.33,9176,Atlético_Mineiro,288.95733333333334,0.0,0.0,0.1733333333333333,0.1553333333333333,1,pedrinhoatleticomineiro,,,,,,,left_only
Mauricio Lemos,27,187.0,26,8352.43,26.47,2.4,0.0,0.0,2.96,3.77,11939,Atlético_Mineiro,321.2473076923077,0.0,0.0,0.1138461538461538,0.145,1,mauriciolemosatleticomineiro,316.0,168.0,28.0,84.0,14.0,Muscle injury,both
Rodrigo Battaglia,31,187.0,21,8340.23,22.87,2.33,0.0,0.0,3.9,4.0,13211,Atlético_Mineiro,397.1538095238095,0.0,0.0,0.1857142857142857,0.1904761904761904,1,rodrigobattagliaatleticomineiro,,,,,,,left_only
Eduardo Vargas,33,174.0,12,4149.21,23.23,2.37,0.0,0.0,0.83,1.42,15800,Atlético_Mineiro,345.7675,0.0,0.0,0.0691666666666666,0.1183333333333333,1,eduardovargasatleticomineiro,,,,,,,left_only
Guilherme Arana,26,176.0,27,8854.92,24.74,2.5,0.0,0.0,4.11,4.33,15801,Atlético_Mineiro,327.96,0.0,0.0,0.1522222222222222,0.1603703703703703,1,guilhermearanaatleticomineiro,350.0,0.0,0.0,0.0,5.0,,both
Alan Kardec,34,190.0,14,2242.6,21.87,2.52,0.0,0.0,2.0,2.14,15802,Atlético_Mineiro,160.18571428571428,0.0,0.0,0.1428571428571428,0.1528571428571428,1,alankardecatleticomineiro,,,,,,,left_only
Matías Zaracho,25,171.0,27,7498.03,27.38,2.44,0.0,0.0,2.3,3.0,15803,Atlético_Mineiro,277.7048148148148,0.0,0.0,0.0851851851851851,0.1111111111111111,1,matiaszarachoatleticomineiro,334.0,590.0,10.0,590.0,10.0,Torn ankle ligaments,both
Igor Rabello,28,190.0,11,6500.57,23.73,2.39,0.0,0.0,3.91,4.09,15804,Atlético_Mineiro,590.960909090909,0.0,0.0,0.3554545454545454,0.3718181818181818,1,igorrabelloatleticomineiro,311.0,75.0,3.0,75.0,3.0,Hamstring injury,both
Hyoran,29,174.0,12,5631.56,24.54,2.47,0.0,0.0,2.0,2.08,15807,Atlético_Mineiro,469.2966666666667,0.0,0.0,0.1666666666666666,0.1733333333333333,1,hyoranatleticomineiro,,,,,,,left_only
Everson,33,192.0,35,4753.97,21.85,1.43,0.0,0.0,1.51,2.17,15808,Atlético_Mineiro,135.82771428571428,0.0,0.0,0.0431428571428571,0.062,0,eversonatleticomineiro,44.0,0.0,0.0,0.0,1.0,,both
Mariano,37,177.0,21,7198.9,21.93,2.48,0.0,0.0,4.67,4.33,15809,Atlético_Mineiro,342.8047619047619,0.0,0.0,0.2223809523809523,0.2061904761904762,1,marianoatleticomineiro,,,,,,,left_only
Bruno Fuchs,24,190.0,15,7294.48,21.64,2.47,0.0,0.0,2.4,2.4,15811,Atlético_Mineiro,486.2986666666666,0.0,0.0,0.16,0.16,1,brunofuchsatleticomineiro,,,,,,,left_only
Matheus Mendes,24,191.0,2,5229.45,20.28,1.57,0.0,0.0,0.5,2.5,15812,Atlético_Mineiro,2614.725,0.0,0.0,0.25,1.25,0,matheusmendesatleticomineiro,,,,,,,left_only
Réver,38,192.0,8,1799.22,18.36,2.38,0.0,0.0,0.5,0.12,15813,Atlético_Mineiro,224.9025,0.0,0.0,0.0625,0.015,0,reveratleticomineiro,,,,,,,left_only
Nathan Silva,26,182.0,4,8645.21,23.21,2.14,0.0,0.0,1.75,1.0,15814,Atlético_Mineiro,2161.3025,0.0,0.0,0.4375,0.25,1,nathansilvaatleticomineiro,,,,,,,left_only
Rubens,22,178.0,24,5588.44,24.31,2.46,0.0,0.0,1.42,1.04,15815,Atlético_Mineiro,232.85166666666663,0.0,0.0,0.0591666666666666,0.0433333333333333,1,rubensatleticomineiro,140.0,0.0,0.0,0.0,3.0,,both
Hulk,37,180.0,33,8877.55,24.67,2.52,0.0,0.0,3.97,4.21,15816,Atlético_Mineiro,269.01666666666665,0.0,0.0,0.1203030303030303,0.1275757575757575,1,hulkatleticomineiro,280.0,0.0,0.0,0.0,14.0,,both
Edenilson,33,175.0,27,5364.35,21.97,2.45,0.0,0.0,3.19,3.93,15817,Atlético_Mineiro,198.67962962962963,0.0,0.0,0.1181481481481481,0.1455555555555555,1,edenilsonatleticomineiro,,,,,,,left_only
Dodô,31,177.0,1,5120.9,22.2,2.13,0.0,0.0,0.0,0.0,16726,Atlético_Mineiro,5120.9,0.0,0.0,0.0,0.0,1,dodoatleticomineiro,,,,,,,left_only
Igor Gomes,24,183.0,28,4926.37,22.17,2.52,0.0,0.0,3.04,3.14,16730,Atlético_Mineiro,175.94178571428571,0.0,0.0,0.1085714285714285,0.1121428571428571,1,igorgomesatleticomineiro,18.0,18.0,1.0,18.0,1.0,ankle sprain,both
Patrick,30,176.0,22,2790.7,19.54,2.45,0.0,0.0,0.77,0.86,16740,Atlético_Mineiro,126.85,0.0,0.0,0.035,0.039090909090909,1,patrickatleticomineiro,9.0,0.0,0.0,0.0,1.0,,both
Carlos Eduardo,19,188.0,2,903.97,17.74,2.11,0.0,0.0,0.0,0.0,17005,Atlético_Mineiro,451.985,0.0,0.0,0.0,0.0,0,carloseduardoatleticomineiro,,,,,,,left_only
Renzo Saravia,30,178.0,26,6743.6,27.31,2.48,0.0,0.0,2.77,2.19,17055,Atlético_Mineiro,259.3692307692308,0.0,0.0,0.1065384615384615,0.0842307692307692,1,renzosaraviaatleticomineiro,208.0,70.0,5.0,70.0,5.0,Hamstring injury,both
Isaac,19,185.0,1,1405.89,19.0,3.02,0.0,0.0,0.0,0.0,18364,Atlético_Mineiro,1405.89,0.0,0.0,0.0,0.0,1,isaacatleticomineiro,,,,,,,left_only
Paulo Vitor,18,185.0,1,2000.4,16.74,1.89,0.0,0.0,0.0,0.0,18779,Atlético_Mineiro,2000.4,0.0,0.0,0.0,0.0,0,paulovitoratleticomineiro,,,,,,,left_only
Alisson,17,180.4719562243502,5,1440.78,24.24,2.56,0.0,0.0,0.2,0.4,19461,Atlético_Mineiro,288.156,0.0,0.0,0.04,0.08,1,alissonatleticomineiro,103.0,0.0,0.0,0.0,2.0,,both
Esteban Burgos,31,191.0,4,8385.52,22.26,2.59,0.0,0.0,4.25,5.75,1769,América_Mineiro,2096.38,0.0,0.0,1.0625,1.4375,1,estebanburgosamericamineiro,,,,,,,left_only
Washington Aguerre,30,187.0,2,5546.9,20.56,1.76,0.0,0.0,4.0,2.0,3697,América_Mineiro,2773.45,0.0,0.0,2.0,1.0,0,washingtonaguerreamericamineiro,,,,,,,left_only
Juan Cazares,31,171.0,12,3055.79,22.11,2.57,0.0,0.0,1.42,3.17,14774,América_Mineiro,254.64916666666667,0.0,0.0,0.1183333333333333,0.2641666666666666,1,juancazaresamericamineiro,,,,,,,left_only
Everaldo,29,172.0,21,6167.13,23.53,2.49,0.0,0.0,10.24,9.71,16007,América_Mineiro,293.67285714285714,0.0,0.0,0.4876190476190476,0.4623809523809524,1,everaldoamericamineiro,,,,,,,left_only
Renato Kayzer,27,178.0,2,1416.97,19.73,3.05,0.0,0.0,0.0,1.5,16165,América_Mineiro,708.485,0.0,0.0,0.0,0.75,1,renatokayzeramericamineiro,,,,,,,left_only
Jori,27,190.0,11,4912.26,20.58,1.52,0.0,0.0,1.45,0.45,17897,América_Mineiro,446.5690909090909,0.0,0.0,0.1318181818181818,0.0409090909090909,0,joriamericamineiro,,,,,,,left_only
Mateus Pasinato,30,192.0,10,4120.15,21.82,1.23,0.0,0.0,1.9,2.4,17898,América_Mineiro,412.015,0.0,0.0,0.19,0.24,0,mateuspasinatoamericamineiro,,,,,,,left_only
Matheus Cavichioli,36,192.0,15,4248.68,21.51,1.24,0.0,0.0,2.47,3.27,17899,América_Mineiro,283.2453333333333,0.0,0.0,0.1646666666666666,0.218,0,matheuscavichioliamericamineiro,,,,,,,left_only
Iago Maidana,27,195.0,30,7355.47,23.03,2.28,0.0,0.0,5.3,6.77,17901,América_Mineiro,245.18233333333333,0.0,0.0,0.1766666666666666,0.2256666666666666,1,iagomaidanaamericamineiro,,,,,,,left_only
Éder Ferreira,28,184.0,24,6885.27,23.28,2.21,0.04,0.0,8.5,10.5,17902,América_Mineiro,286.88625,0.0016666666666666,0.0,0.3541666666666667,0.4375,1,ederferreiraamericamineiro,,,,,,,left_only
Marlon Lopes,29,177.0,26,6922.3,24.66,2.45,0.04,0.0,10.15,13.04,17903,América_Mineiro,266.2423076923077,0.0015384615384615,0.0,0.3903846153846154,0.5015384615384615,1,marlonlopesamericamineiro,,,,,,,left_only
Danilo Avelar,34,185.0,26,8027.47,24.19,2.34,0.0,0.0,8.19,10.35,17904,América_Mineiro,308.74884615384616,0.0,0.0,0.315,0.398076923076923,1,daniloavelaramericamineiro,,,,,,,left_only
Nino Paraíba,37,168.0,4,5545.62,23.12,2.48,0.0,0.0,7.0,8.25,17905,América_Mineiro,1386.405,0.0,0.0,1.75,2.0625,1,ninoparaibaamericamineiro,,,,,,,left_only
Lucas Kal,27,186.0,19,7469.29,24.27,2.16,0.0,0.0,12.0,13.53,17906,América_Mineiro,393.1205263157895,0.0,0.0,0.631578947368421,0.7121052631578947,1,lucaskalamericamineiro,,,,,,,left_only
Breno Cascardo,19,183.0,24,5711.34,23.66,2.31,0.0,0.0,6.75,7.83,17907,América_Mineiro,237.9725,0.0,0.0,0.28125,0.32625,1,brenocascardoamericamineiro,,,,,,,left_only
Martín Benítez,29,175.0,20,5786.77,25.0,2.35,0.0,0.0,5.45,6.15,17908,América_Mineiro,289.3385,0.0,0.0,0.2725,0.3075,1,martinbenitezamericamineiro,,,,,,,left_only
Matheusinho,25,164.0,7,3903.84,22.85,2.17,0.0,0.0,7.0,8.14,17909,América_Mineiro,557.6914285714286,0.0,0.0,1.0,1.162857142857143,1,matheusinhoamericamineiro,,,,,,,left_only
Alê,33,184.0,27,6264.95,23.36,2.31,0.0,0.0,10.22,11.85,17910,América_Mineiro,232.0351851851852,0.0,0.0,0.3785185185185185,0.4388888888888889,1,aleamericamineiro,,,,,,,left_only
Mateus Henrique,20,178.0,12,4930.01,22.66,2.6,0.0,0.0,10.5,9.75,17911,América_Mineiro,410.8341666666667,0.0,0.0,0.875,0.8125,1,mateushenriqueamericamineiro,,,,,,,left_only
Emmanuel Martínez,29,169.0,35,8896.33,24.82,2.3,0.03,0.0,15.8,19.89,17912,América_Mineiro,254.18085714285715,0.0008571428571428,0.0,0.4514285714285714,0.5682857142857143,1,emmanuelmartinezamericamineiro,,,,,,,left_only
Mateus Gonçalves,28,172.0,3,2531.32,22.23,2.55,0.0,0.0,1.0,1.33,17913,América_Mineiro,843.7733333333334,0.0,0.0,0.3333333333333333,0.4433333333333333,1,mateusgoncalvesamericamineiro,,,,,,,left_only
Felipe Azevedo,36,174.0,30,6129.45,23.81,2.33,0.0,0.0,10.57,10.93,17914,América_Mineiro,204.315,0.0,0.0,0.3523333333333333,0.3643333333333333,1,felipeazevedoamericamineiro,,,,,,,left_only
Adyson,18,168.0,8,3696.98,22.68,2.58,0.0,0.0,4.0,6.25,17916,América_Mineiro,462.1225,0.0,0.0,0.5,0.78125,1,adysonamericamineiro,,,,,,,left_only
