nickname,age,height,partidas_jogadas,distancia_total_m,aceleracao_maxima_ms2,aceleracao_media_positiva_ms2,hsr_count,sprint_count,alta_aceleracao_count,aceleracao_explosiva_count,player_id,team_name,distancia_total_m_por_partida,hsr_count_por_partida,sprint_count_por_partida,alta_aceleracao_count_por_partida,aceleracao_explosiva_count_por_partida,cluster,player_key,Days Missed,total_days_3y,n_events_3y,severity_idx,injury_events,top_injury,_merge
Weverton,35,189.0,34,4503.71,21.22,1.37,0.0,0.0,3.12,1.76,13829,Palmeiras,132.46205882352942,0.0,0.0,0.0917647058823529,0.0517647058823529,0,wevertonpalmeiras,,,,,,,left_only
Rony,28,167.0,29,5692.31,23.47,2.26,0.0,0.0,10.34,13.38,16549,Palmeiras,196.28655172413795,0.0,0.0,0.356551724137931,0.4613793103448276,1,ronypalmeiras,25.0,64.0,4.0,32.0,2.0,Broken arm,both
Mayke,30,178.0,32,8391.21,23.65,2.29,0.0,0.0,13.69,16.56,16550,Palmeiras,262.2253125,0.0,0.0,0.4278125,0.5175,1,maykepalmeiras,215.0,0.0,0.0,0.0,7.0,,both
Gustavo Gómez,30,185.0,31,8533.32,24.11,2.17,0.0,0.0,7.58,12.1,16551,Palmeiras,275.2683870967742,0.0,0.0,0.244516129032258,0.3903225806451613,1,gustavogomezpalmeiras,90.0,0.0,0.0,0.0,4.0,,both
Endrick,17,173.0,30,5244.03,24.78,2.2,0.0,0.0,8.83,9.23,16552,Palmeiras,174.801,0.0,0.0,0.2943333333333333,0.3076666666666667,1,endrickpalmeiras,62.0,0.0,0.0,0.0,1.0,,both
Giovani,19,184.0,2,1404.62,22.37,2.41,0.0,0.0,0.0,1.5,16553,Palmeiras,702.31,0.0,0.0,0.0,0.75,1,giovanipalmeiras,,,,,,,left_only
José Manuel López,22,188.0,22,3070.31,22.84,2.29,0.0,0.0,4.41,6.18,16554,Palmeiras,139.55954545454546,0.0,0.0,0.2004545454545454,0.2809090909090909,1,josemanuellopezpalmeiras,,,,,,,left_only
Breno Lopes,27,178.0,30,4744.26,24.14,2.3,0.0,0.0,6.7,9.07,16555,Palmeiras,158.142,0.0,0.0,0.2233333333333333,0.3023333333333333,1,brenolopespalmeiras,,,,,,,left_only
Marcos Rocha,34,176.0,20,6596.93,25.62,2.27,0.0,0.0,7.15,9.45,16556,Palmeiras,329.8465,0.0,0.0,0.3575,0.4725,1,marcosrochapalmeiras,193.0,156.0,6.0,156.0,6.0,Hamstring injury,both
Joaquín Piquerez,25,185.0,29,9314.35,25.76,2.29,0.0,0.0,13.14,17.34,16557,Palmeiras,321.1844827586207,0.0,0.0,0.4531034482758621,0.5979310344827586,1,joaquinpiquerezpalmeiras,296.0,0.0,0.0,0.0,11.0,,both
Raphael Veiga,28,176.0,31,8776.67,24.97,2.17,0.0,0.0,12.65,18.16,16558,Palmeiras,283.1183870967742,0.0,0.0,0.4080645161290323,0.5858064516129032,1,raphaelveigapalmeiras,207.0,90.0,6.0,90.0,6.0,Hamstring injury,both
Gabriel Menino,22,176.0,23,7313.63,23.63,2.19,0.0,0.0,10.13,14.52,16559,Palmeiras,317.98391304347825,0.0,0.0,0.4404347826086957,0.6313043478260869,1,gabrielmeninopalmeiras,,,,,,,left_only
Murilo,26,188.0,24,8478.86,23.49,2.12,0.0,0.0,9.79,10.88,16560,Palmeiras,353.28583333333336,0.0,0.0,0.4079166666666666,0.4533333333333333,1,murilopalmeiras,246.0,570.0,10.0,570.0,10.0,Shoulder injury,both
Jailson,28,187.0,8,2607.73,24.97,2.39,0.0,0.0,5.25,5.38,16561,Palmeiras,325.96625,0.0,0.0,0.65625,0.6725,1,jailsonpalmeiras,,,,,,,left_only
Gustavo Garcia,21,175.0,4,6204.43,22.75,2.54,0.0,0.0,7.25,8.5,16563,Palmeiras,1551.1075,0.0,0.0,1.8125,2.125,1,gustavogarciapalmeiras,,,,,,,left_only
Kaiky Naves,21,182.0,9,5208.36,23.01,2.09,0.0,0.0,4.67,6.78,16564,Palmeiras,578.7066666666666,0.0,0.0,0.5188888888888888,0.7533333333333334,1,kaikynavespalmeiras,,,,,,,left_only
Jhon Jhon,20,178.0,19,4857.76,24.04,2.25,0.0,0.0,8.42,8.37,16566,Palmeiras,255.67157894736843,0.0,0.0,0.4431578947368421,0.4405263157894736,1,jhonjhonpalmeiras,,,,,,,left_only
Marcelo Lomba,36,188.0,3,4208.55,20.36,1.22,0.0,0.0,2.0,1.33,16567,Palmeiras,1402.85,0.0,0.0,0.6666666666666666,0.4433333333333333,0,marcelolombapalmeiras,41.0,0.0,0.0,0.0,1.0,,both
Vanderlan,20,183.0,13,6628.58,24.65,2.31,0.0,0.0,9.15,12.08,16568,Palmeiras,509.8907692307693,0.0,0.0,0.7038461538461539,0.9292307692307692,1,vanderlanpalmeiras,,,,,,,left_only
Zé Rafael,30,175.0,31,9272.02,25.86,2.1,0.0,0.0,10.39,15.71,16569,Palmeiras,299.09741935483873,0.0,0.0,0.3351612903225807,0.5067741935483872,1,zerafaelpalmeiras,,,,,,,left_only
Fabinho,21,178.0,23,3022.2,22.65,2.25,0.0,0.0,4.96,5.26,16707,Palmeiras,131.4,0.0,0.0,0.2156521739130434,0.228695652173913,1,fabinhopalmeiras,,,,,,,left_only
Luan,30,188.0,22,7957.87,23.2,2.15,0.0,0.0,7.59,11.32,16709,Palmeiras,361.7213636363636,0.0,0.0,0.345,0.5145454545454545,1,luanpalmeiras,,,,,,,left_only
Rafael Navarro,23,183.0,3,4578.35,19.95,2.66,0.0,0.0,1.67,1.67,16713,Palmeiras,1526.1166666666668,0.0,0.0,0.5566666666666666,0.5566666666666666,1,rafaelnavarropalmeiras,,,,,,,left_only
Dudu,31,166.0,14,7996.41,23.31,2.35,0.0,0.0,9.0,10.93,16714,Palmeiras,571.1721428571428,0.0,0.0,0.6428571428571429,0.7807142857142857,1,dudupalmeiras,,,,,,,left_only
Artur,25,168.0,31,6437.03,25.05,2.28,0.0,0.0,10.87,13.0,18088,Palmeiras,207.64612903225805,0.0,0.0,0.3506451612903226,0.4193548387096774,1,arturpalmeiras,,,,,,,left_only
Ian Custódio,20,180.0,1,2720.69,23.42,2.79,0.0,0.0,4.0,2.0,18351,Palmeiras,2720.69,0.0,0.0,4.0,2.0,1,iancustodiopalmeiras,,,,,,,left_only
Luis Guilherme,17,175.0,18,3287.23,23.7,2.31,0.0,0.0,5.44,7.61,18353,Palmeiras,182.6238888888889,0.0,0.0,0.3022222222222222,0.4227777777777778,1,luisguilhermepalmeiras,,,,,,,left_only
Kevin Macedo,20,176.0,7,3838.53,23.32,2.45,0.0,0.0,5.29,7.29,18354,Palmeiras,548.3614285714286,0.0,0.0,0.7557142857142857,1.0414285714285714,1,kevinmacedopalmeiras,,,,,,,left_only
Kauan Santos,19,165.0,1,1019.92,20.81,2.64,0.0,0.0,2.0,3.0,24060,Palmeiras,1019.92,0.0,0.0,2.0,3.0,1,kauansantospalmeiras,,,,,,,left_only
Estevão,16,176.0,1,1404.31,22.4,2.33,0.0,0.0,1.0,3.0,24621,Palmeiras,1404.31,0.0,0.0,1.0,3.0,1,estevaopalmeiras,47.0,0.0,0.0,0.0,2.0,,both
Hugo Mallo,32,174.0,6,6107.8,27.44,2.23,0.0,0.0,8.67,10.17,1458,Internacional,1017.9666666666668,0.0,0.0,1.445,1.695,1,hugomallointernacional,,,,,,,left_only
Charles Aránguiz,34,171.0,22,6865.72,24.99,2.19,0.0,0.0,10.55,14.64,4591,Internacional,312.0781818181818,0.0,0.0,0.4795454545454545,0.6654545454545455,1,charlesaranguizinternacional,,,,,,,left_only
Carlos De Peña,31,177.0,27,5877.26,22.96,2.54,0.0,0.0,4.52,5.26,8380,Internacional,217.6762962962963,0.0,0.0,0.1674074074074074,0.1948148148148148,1,carlosdepenainternacional,,,,,,,left_only
Vitão,23,185.0,26,7743.79,23.03,2.42,0.0,0.0,3.62,3.5,9114,Internacional,297.8380769230769,0.0,0.0,0.1392307692307692,0.1346153846153846,1,vitaointernacional,95.0,195.0,10.0,97.5,5.0,Hamstring injury,both
Alan Patrick,32,177.0,34,8563.56,25.57,2.23,0.0,0.0,11.24,15.35,9187,Internacional,251.86941176470583,0.0,0.0,0.3305882352941176,0.4514705882352941,1,alanpatrickinternacional,189.0,0.0,0.0,0.0,8.0,,both
Enner Valencia,33,177.0,22,6982.56,25.92,2.35,0.0,0.0,7.64,10.23,11960,Internacional,317.3890909090909,0.0,0.0,0.3472727272727272,0.465,1,ennervalenciainternacional,272.0,285.0,30.0,142.5,15.0,Head injury,both
Luiz Adriano,36,184.0,29,4775.41,23.35,2.26,0.0,0.0,8.24,7.48,12185,Internacional,164.66931034482758,0.0,0.0,0.2841379310344827,0.2579310344827586,1,luizadrianointernacional,,,,,,,left_only
Gustavo Campanharo,31,178.0,15,5375.71,23.12,2.12,0.0,0.0,5.4,10.13,12223,Internacional,358.3806666666667,0.0,0.0,0.36,0.6753333333333333,1,gustavocampanharointernacional,,,,,,,left_only
