awayTeam,awayTeamKit,competition,date,endPeriod1,endPeriod2,homeTeam,homeTeamKit,homeTeamStartLeft,id,period1,period2,season,stadium,startPeriod1,startPeriod2,videos,week
"{'id': '432', 'name': 'Corinthians', 'shortName': 'COR'}","{'name': 'Away', 'primaryColor': '#000000', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-21T23:00:00,3060.961,5716.788,"{'id': '443', 'name': 'Santos FC', 'shortName': 'STS'}","{'name': 'Home', 'primaryColor': '#ffffff', 'primaryTextColor': '#000000', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}",True,12604,50.942616666666666,44.079716666666656,2023,"{'id': '367', 'name': 'Estadio Urbano Caldeira', 'pitchLength': 105.0, 'pitchWidth': 68.0}",4.404,3072.005,"{'fps': 29.97, 'id': '10695', 'videoUrl': 'epitome-staging.pff.com/en/film_room/e908628e-07f2-452a-9bb7-291d79600bf9'}",11
"{'id': '435', 'name': 'Flamengo', 'shortName': 'FLA'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#c22a1e', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-23T00:30:00,2976.51,5723.257,"{'id': '442', 'name': 'Red Bull Bragantino', 'shortName': 'RBB'}","{'name': 'Away', 'primaryColor': '#000000', 'primaryTextColor': '#ffffff', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}",False,12605,48.39116666666667,45.03281666666666,2023,"{'id': '376', 'name': 'Estádio Nabi Abi Chedid', 'pitchLength': 110.0, 'pitchWidth': 68.0}",73.04,3021.288,"{'fps': 29.97, 'id': '10701', 'videoUrl': 'epitome-staging.pff.com/en/film_room/74382da8-1138-4ed3-bbdc-d6252aec168d'}",11
"{'id': '430', 'name': 'Botafogo', 'shortName': 'BOT'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#000000', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-25T19:00:00,3240.374,6403.504,"{'id': '441', 'name': 'Palmeiras', 'shortName': 'PAL'}","{'name': 'Home', 'primaryColor': '#006437', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#006437'}",True,12606,52.43133333333333,52.0376,2023,"{'id': '369', 'name': 'Allianz Parque', 'pitchLength': 105.0, 'pitchWidth': 68.0}",94.494,3281.248,"{'fps': 29.97, 'id': '10768', 'videoUrl': 'epitome-staging.pff.com/en/film_room/415780ad-9da7-4692-a4c8-9b236ee5cd77'}",12
"{'id': '432', 'name': 'Corinthians', 'shortName': 'COR'}","{'name': 'Home', 'primaryColor': '#ffffff', 'primaryTextColor': '#000000', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-24T19:00:00,3104.551,6354.922,"{'id': '426', 'name': 'Athletico Paranaense', 'shortName': 'APR'}","{'name': 'Home', 'primaryColor': '#b0000b', 'primaryTextColor': '#000000', 'secondaryColor': '#000000', 'secondaryTextColor': '#b0000b'}",False,12607,50.464016666666666,53.09754999999999,2023,"{'id': '352', 'name': 'Arena da Baixada', 'pitchLength': 105.0, 'pitchWidth': 68.0}",76.71,3169.069,"{'fps': 29.97, 'id': '10763', 'videoUrl': 'epitome-staging.pff.com/en/film_room/2c16adfa-07fe-44ba-b719-795b59087dcf'}",12
"{'id': '444', 'name': 'São Paulo FC', 'shortName': 'SAO'}","{'name': 'Home', 'primaryColor': '#ffffff', 'primaryTextColor': '#ff0000', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-25T00:00:00,3032.432,6232.073,"{'id': '514', 'name': 'Cruzeiro', 'shortName': 'CRZ'}","{'name': 'Away', 'primaryColor': '#0000CD', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#0000CD'}",False,12608,50.49985,53.25816666666667,2023,"{'id': '349', 'name': 'Mineirao', 'pitchLength': 105.0, 'pitchWidth': 68.0}",2.441,3036.583,"{'fps': 29.97, 'id': '10769', 'videoUrl': 'epitome-staging.pff.com/en/film_room/2c14e3a2-f30b-4a4a-bf9d-5af3f4c604f8'}",12
"{'id': '439', 'name': 'Internacional', 'shortName': 'INL'}","{'name': 'Away', 'primaryColor': '#f8f0e3', 'primaryTextColor': '#c20c18', 'secondaryColor': '#c20c18', 'secondaryTextColor': '#f8f0e3'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-25T21:30:00,3059.626,6271.838,"{'id': '425', 'name': 'América Mineiro', 'shortName': 'AMM'}","{'name': 'Home', 'primaryColor': '#000000', 'primaryTextColor': '#00f000', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}",False,12609,49.61658333333334,52.48803333333333,2023,"{'id': '348', 'name': 'Estádio Raimundo Sampaio', 'pitchLength': 105.0, 'pitchWidth': 68.0}",82.631,3122.556,"{'fps': 29.97, 'id': '10771', 'videoUrl': 'epitome-staging.pff.com/en/film_room/98a7ad80-917a-45de-8c53-f19824b262b1'}",12
"{'id': '435', 'name': 'Flamengo', 'shortName': 'FLA'}","{'name': '3rd', 'primaryColor': '#000000', 'primaryTextColor': '#c22a1e', 'secondaryColor': '#000000', 'secondaryTextColor': '#c22a1e'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-25T21:30:00,3017.784,6224.424,"{'id': '443', 'name': 'Santos FC', 'shortName': 'STS'}","{'name': 'Home', 'primaryColor': '#ffffff', 'primaryTextColor': '#000000', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}",True,12610,49.00455,52.248916666666666,2023,"{'id': '367', 'name': 'Estadio Urbano Caldeira', 'pitchLength': 105.0, 'pitchWidth': 68.0}",77.511,3089.489,"{'fps': 29.97, 'id': '10773', 'videoUrl': 'epitome-staging.pff.com/en/film_room/e30c4c6b-9a59-4467-b31b-7d6abba6dad1'}",12
"{'id': '517', 'name': 'Bahia', 'shortName': 'BAH'}","{'name': 'Home', 'primaryColor': '#ffffff', 'primaryTextColor': '#4169E1', 'secondaryColor': '#ff0000', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-24T21:30:00,3153.854,6326.059,"{'id': '436', 'name': 'Fluminense FC', 'shortName': 'FMN'}","{'name': 'Home', 'primaryColor': '#870a28', 'primaryTextColor': '#ffffff', 'secondaryColor': '#00613c', 'secondaryTextColor': '#ffffff'}",False,12611,50.96541666666666,52.272266666666674,2023,"{'id': '364', 'name': 'Maracanã', 'pitchLength': 105.0, 'pitchWidth': 68.0}",95.929,3189.723,"{'fps': 29.97, 'id': '10766', 'videoUrl': 'epitome-staging.pff.com/en/film_room/7e95f45e-3cf9-4007-82fe-46c449946e74'}",12
"{'id': '438', 'name': 'Goiás', 'shortName': 'GOI'}","{'name': 'Away', 'primaryColor': '#ffffff', 'primaryTextColor': '#005e4f', 'secondaryColor': '#005e4f', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-25T21:30:00,2944.444,6119.152,"{'id': '442', 'name': 'Red Bull Bragantino', 'shortName': 'RBB'}","{'name': 'Away', 'primaryColor': '#000000', 'primaryTextColor': '#ffffff', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}",True,12612,48.0664,51.00933333333333,2023,"{'id': '376', 'name': 'Estádio Nabi Abi Chedid', 'pitchLength': 110.0, 'pitchWidth': 68.0}",60.46,3058.592,"{'fps': 29.97, 'id': '10772', 'videoUrl': 'epitome-staging.pff.com/en/film_room/a24b808e-866a-4cc5-ac63-9d545c55b3cb'}",12
"{'id': '433', 'name': 'Coritiba', 'shortName': 'CTB'}","{'name': 'Home', 'primaryColor': '#ffffff', 'primaryTextColor': '#04690f', 'secondaryColor': '#000000', 'secondaryTextColor': '#ffffff'}","{'id': '42', 'name': 'Brasileiro Série A'}",2023-06-25T19:00:00,3061.094,6130.831,"{'id': '515', 'name': 'Grêmio', 'shortName': 'GRM'}","{'name': 'Home', 'primaryColor': '#1E90FF', 'primaryTextColor': '#ffffff', 'secondaryColor': '#ffffff', 'secondaryTextColor': '#000000'}",True,12613,49.33766666666667,49.330450000000006,2023,"{'id': '359', 'name': 'Arena do Grêmio', 'pitchLength': 105.0, 'pitchWidth': 68.0}",100.834,3171.004,"{'fps': 29.97, 'id': '10770', 'videoUrl': 'epitome-staging.pff.com/en/film_room/bb6dd369-b902-4e5a-adc5-5e0b34abdc51'}",12
