game_id,player,positionGroupType,shirtNumber,team
12871,"{'id': '11481', 'nickname': 'Lucas Mineiro'}",DM,31,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '18553', 'nickname': 'Emerson Negueba'}",LW,17,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '15796', 'nickname': 'Vitor Bueno'}",RW,8,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '21128', 'nickname': 'João Vitor'}",RCB,58,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '18536', 'nickname': 'Marllon'}",RCB,4,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '18555', 'nickname': 'Jonathan Cafú'}",RW,7,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '24544', 'nickname': 'Luiz Felipe'}",AM,97,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '16143', 'nickname': 'Willian'}",CF,11,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '24915', 'nickname': 'João Cruz'}",M,57,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '18541', 'nickname': 'Raniele'}",MCB,14,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '18558', 'nickname': 'Deyverson'}",CF,16,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '15778', 'nickname': 'Bento'}",GK,1,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '15798', 'nickname': 'Christian'}",LW,88,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '24059', 'nickname': 'Chiqueti'}",M,54,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '12474', 'nickname': 'Allyson'}",LCB,34,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '18548', 'nickname': 'Denilson'}",AM,27,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '15793', 'nickname': 'Matheus Felipe'}",RCB,42,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '24125', 'nickname': 'Lucas Belezi'}",RCB,45,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '19579', 'nickname': 'Dudu'}",AM,53,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '18538', 'nickname': 'Uendel'}",LWB,6,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '18550', 'nickname': 'Rikelme'}",AM,20,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '15776', 'nickname': 'Kaique Rocha'}",MCB,4,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '13928', 'nickname': 'Agustin Canobbio'}",RW,14,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '15790', 'nickname': 'Luciano Arriagada'}",CF,32,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '18544', 'nickname': 'Fernando Sobral'}",CM,88,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '18534', 'nickname': 'Vinicius Barreta'}",GK,26,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '18834', 'nickname': 'Vinicius Kaue'}",LCB,21,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '15791', 'nickname': 'Rômulo'}",CF,35,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '18542', 'nickname': 'Filipe Augusto'}",CM,5,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '18539', 'nickname': 'Patric Calmon'}",LB,94,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '15785', 'nickname': 'Madson'}",RWB,22,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '14845', 'nickname': 'Bruno Zapelli'}",CF,10,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '19563', 'nickname': 'Clayson'}",CM,29,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '19127', 'nickname': 'Juan Pablo'}",LB,63,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '15786', 'nickname': 'Erick'}",CM,26,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '12008', 'nickname': 'Bruno Peres'}",RB,33,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '20671', 'nickname': 'Derik Lacerda'}",CF,22,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '18569', 'nickname': 'Vitão'}",RCB,3,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '15781', 'nickname': 'Hugo Moura'}",CM,17,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '18286', 'nickname': 'Léo Linck'}",GK,24,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '18533', 'nickname': 'João Carlos'}",GK,21,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '18557', 'nickname': 'Isidro Pitta'}",CF,9,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '19128', 'nickname': 'Calebe'}",M,55,"{'id': '434', 'name': 'Cuiabá'}"
12871,"{'id': '15787', 'nickname': 'Tomás Cuello'}",LWB,28,"{'id': '426', 'name': 'Athletico Paranaense'}"
12871,"{'id': '24354', 'nickname': 'Marcos André'}",D,46,"{'id': '426', 'name': 'Athletico Paranaense'}"
12872,"{'id': '17979', 'nickname': 'Tadeu'}",GK,23,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '17991', 'nickname': 'Maguinho'}",RB,2,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '17982', 'nickname': 'Lucas Halter'}",RCB,3,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '17986', 'nickname': 'Edu'}",LCB,43,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '17988', 'nickname': 'Bruno Melo'}",LB,19,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '17992', 'nickname': 'Willian Oliveira'}",DM,12,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '18594', 'nickname': 'Guilherme'}",RM,60,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '19571', 'nickname': 'Luís Oyama'}",CM,55,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '18298', 'nickname': 'Everton Morelli'}",CM,40,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '11652', 'nickname': 'Anderson Oliveira'}",LM,70,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '18002', 'nickname': 'Pedro Junqueira'}",CF,17,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '24603', 'nickname': 'Xavier'}",LB,28,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '23248', 'nickname': 'Luis Mina'}",RCB,14,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '18778', 'nickname': 'Dodozinho'}",AM,95,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '18836', 'nickname': 'Eduardo Simioni'}",M,36,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '24908', 'nickname': 'Halerrandrio'}",RW,30,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '17980', 'nickname': 'Marcelo Rangel'}",GK,88,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '21094', 'nickname': 'Ezequiel Oliveira'}",GK,29,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '11678', 'nickname': 'Raphael Guzzo'}",CM,5,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '17998', 'nickname': 'Julián Palacios'}",AM,10,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '18005', 'nickname': 'Apodi'}",RW,22,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '13417', 'nickname': 'Matheus Babi'}",CF,9,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '18010', 'nickname': 'Breno Herculano'}",CF,18,"{'id': '438', 'name': 'Goiás'}"
12872,"{'id': '17897', 'nickname': 'Jori'}",GK,12,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '17934', 'nickname': 'Daniel Borges'}",RB,20,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '17902', 'nickname': 'Éder Ferreira'}",RCB,33,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '18889', 'nickname': 'Júlio César'}",LCB,18,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '17904', 'nickname': 'Danilo Avelar'}",LB,22,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '18078', 'nickname': 'Juninho'}",RM,8,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '18079', 'nickname': 'Rodriguinho'}",CM,75,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '17906', 'nickname': 'Lucas Kal'}",CM,21,"{'id': '425', 'name': 'América Mineiro'}"
12872,"{'id': '17910', 'nickname': 'Alê'}",CM,16,"{'id': '425', 'name': 'América Mineiro'}"
